Lakkautuskunta,Nimike,Ajankohta,Liitoskunta,Nimike_1
617,Pulkkila,1.1.2009,791,Siikalatva
618,Punkaharju,1.1.2013,740,Savonlinna
621,Purmo,1.1.1977,599,Pedersören kunta
622,Pusula,1.1.1981,444,Lohja
627,Pyhäjärvi Ul,1.1.1969,224,Karkkila
628,Pyhäjärvi Vi,19.9.1944,NA,Luovutetulla alueella
629,Pyhämaa,1.1.1974,895,Uusikaupunki
632,Pyhäselkä,1.1.2009,167,Joensuu
633,Pylkönmäki,1.1.2009,729,Saarijärvi
634,Pälkjärvi,1.1.1946,848,Tohmajärvi
679,Raippaluoto,1.1.1973,499,Mustasaari
682,Rantsila,1.1.2009,791,Siikalatva
685,Rauman mlk,1.1.1993,684,Rauma
688,Rautio,1.1.1973,208,Kalajoki
690,Rautu,19.9.1944,NA,Luovutetulla alueella
692,Renko,1.1.2009,109,Hämeenlinna
693,Revonlahti,1.1.1973,748,Siikajoki
695,Riistavesi,1.1.1973,297,Kuopio
696,Ristiina,1.1.2013,491,Mikkeli
699,Rovaniemen mlk,1.1.2006,698,Rovaniemi
701,Ruotsinpyhtää,1.1.2010,434,Loviisa
703,Ruskeala,19.9.1944,NA,Luovutetulla alueella
708,Ruukki,1.1.2007,748,Siikajoki
705,Rymättylä,1.1.2009,529,Naantali
706,Räisälä,19.9.1944,NA,Luovutetulla alueella
728,Saari,1.1.2005,580,Parikkala
730,Sahalahti,1.1.2005,211,Kangasala
731,Sakkola,19.9.1944,NA,Luovutetulla alueella
733,Salmi,19.9.1944,NA,Luovutetulla alueella
735,Saloinen,1.1.1973,678,Raahe
737,Sammatti,1.1.2009,444,Lohja
741,Savonranta,1.1.2009,740,Savonlinna
744,Seinäjoen mlk,1.1.1959,743,Seinäjoki
745,Seiskari,19.9.1944,NA,Luovutetulla alueella
750,Siipyy,1.1.1973,287,Kristiinankaupunki
752,Simpele,1.1.1973,689,Rautjärvi
756,Snappertuna,1.1.1977,710,Raasepori
757,Soanlahti,19.9.1944,NA,Luovutetulla alueella
760,Somerniemi,1.1.1977,761,Somero
763,Sortavala,19.9.1944,NA,Luovutetulla alueella
764,Sortavalan mlk,19.9.1944,NA,Luovutetulla alueella
767,Suistamo,19.9.1944,NA,Luovutetulla alueella
769,Sulva,1.1.1973,499,Mustasaari
770,Sumiainen,1.1.2007,992,Äänekoski
772,Suodenniemi,1.1.2007,790,Sastamala
773,Suojärvi,19.9.1944,NA,Luovutetulla alueella
774,Suolahti,1.1.2007,992,Äänekoski
775,Suomenniemi,1.1.2013,491,Mikkeli
776,Suomusjärvi,1.1.2009,734,Salo
779,Suoniemi,1.1.1973,536,Nokia
780,Suursaari,19.9.1944,NA,Luovutetulla alueella
782,Säkkijärvi,14.9.2009,405,Lappeenranta
784,Särkisalo,1.1.2009,734,Salo
786,Säyneinen,1.1.1971,174,Juankoski
787,Säynätsalo,1.1.1993,179,Jyväskylä
788,Sääksmäki,1.1.1973,908,Valkeakoski
789,Sääminki,1.1.1973,740,Savonlinna
